Id,pop,longitude,latitude,Top_position,Elevation ,Soil_col,Land_form,Slope,Aspect
1,NB,153.2444667,-28.23071667,2,358,1,1,30,0.25
2,NB,153.24445,-28.23076667,2,360,1,1,30,0.25
3,NB,153.2444,-28.23073333,2,340,1,1,30,0.25
4,NB,153.2443833,-28.23068333,2,340,1,1,30,0.25
5,NB,153.24455,-28.23056667,2,343,1,1,30,0.25
6,NB,153.2444833,-28.23065,2,356,1,1,30,0.25
7,NB,153.2444833,-28.23066667,2,356,1,1,30,0.25
8,NB,153.2445333,-28.2235,2,353,1,1,30,0.25
9,NB,153.2463667,-28.2296,1,402,1,1,30,0.25
10,NB,153.2462167,-28.22946667,1,399,1,1,30,0.25
11,NB,153.2459667,-28.22958333,1,402,1,1,30,0.25
12,NB,153.2458833,-28.2296,1,399,1,1,30,0.25
13,NB,153.2459333,-28.22958333,1,399,1,1,30,0.25
14,NB,153.2459333,-28.22958333,1,399,1,1,30,0.25
15,NB,153.2459167,-28.22941667,1,395,1,1,30,0.25
16,NB,153.24595,-28.2294,1,399,1,1,30,0.25
17,NB,153.24585,-28.22945,1,395,1,1,30,0.25
18,MRR,153.495198,-28.435457,3,40,2,1,55,0
19,MRR,153.495198,-28.435457,2,45,2,1,55,0
20,MRR,153.495198,-28.435457,2,50,2,1,55,0
21,MRR,153.495198,-28.435457,2,51,2,1,55,0
22,MRR,153.495198,-28.435457,2,51,2,1,55,0
23,MRR,153.495198,-28.435457,2,45,2,1,55,0
24,MRR,153.495198,-28.435457,3,40,2,1,55,0
25,MNP,153.466081,-28.403714,3,396,2,1,60,0
26,MNP,153.466081,-28.403714,3,389,2,1,60,0
27,MNP,153.466081,-28.403714,3,386,2,1,60,0
28,MNP,153.466081,-28.403714,3,386,2,1,60,0
29,CC,153.280875,-28.262441,4,160,2,2,40,0
30,CC,153.280875,-28.262441,4,180,2,2,40,0
31,CC,153.280875,-28.262441,4,180,2,2,40,0
32,CC,153.280875,-28.262441,4,180,2,2,40,0
33,CC,153.280875,-28.262441,4,180,2,2,40,0
34,CC,153.280875,-28.262441,4,180,2,2,40,0
35,CC,153.280875,-28.262441,4,180,2,2,40,0
36,CC,153.280875,-28.262441,4,180,2,2,40,0
37,CC,153.280875,-28.262441,4,190,2,2,40,0
38,CC,153.280875,-28.262441,4,190,2,2,40,0
39,CC,153.280875,-28.262441,2,161,2,2,40,0
40,CC,153.280875,-28.262441,2,165,2,2,40,0
41,CRY_A,153.296448,-28.246513,2,235,3,2,48,0
42,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
43,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
44,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
45,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
46,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
47,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
48,CRY_A,153.296448,-28.246513,2,240,3,2,48,0
